userId,movieId,rating

1,10567,2

479,644,1

256,582014,3

518,88042,1

892,817648,3

61,38031,3

337,118289,2

817,270946,4

1173,6637,5

206,763,2

524,448095,3

167,446354,5

538,22881,5

777,157832,4

998,11624,2

1272,6795,1

690,24655,1

616,8965,5

653,2841,2

844,442062,3

95,11009,5

413,33511,2

869,3513,3

963,516329,1

1034,257785,5

111,8740,5

88,813,2

554,498248,3

1177,9613,4

267,9789,3

883,525661,1

690,11631,2

413,306947,3

1290,59440,3

333,9034,1

160,9273,4

245,51991,4

418,9466,3

992,14123,3

795,342737,4

665,11454,5

1168,530382,4

582,296524,3

756,17496,2

58,408647,4

1284,11894,2

610,30159,2

747,85435,3

169,175774,2

204,72784,2

1287,752,1

1185,741067,4

666,640,5

386,10727,4

1175,340584,1

533,9991,4

822,10851,5

188,1585,2

167,12079,5

832,207769,5

769,354859,4

94,10431,5

672,9353,5

1290,13042,4

736,517331,3

1329,12448,3

149,146301,5

283,13335,3

944,157544,2

500,234200,4

1121,402693,2

1103,449406,5

755,809,4

1055,704,4

38,444090,4

605,621707,2

1264,126277,3

929,310133,4

1248,1389,3

631,660833,3

364,8841,4

69,16234,2

491,302156,4

116,12481,5

839,725201,4

1020,55823,5

166,206563,3

582,394830,5

729,390669,2

584,420648,5

1201,12834,2

959,16411,2

1178,14411,3

1107,613,3

596,10326,4

524,140870,1

1273,433471,2

578,606679,2

538,6081,2

1298,4234,2

520,535292,4

305,472338,4

88,338970,2

688,50759,4

479,649394,5

1227,16992,2

233,382593,5

690,351145,3

913,1410,4

951,65599,5

142,12569,4

582,26736,5

142,433244,3

841,8222,4

747,425909,4

142,20115,1

1197,330764,5

1004,405774,2

961,9431,2

111,29427,5

89,454227,4

118,246860,1

1212,508943,5

171,11384,3

336,13092,2

1076,193756,2

711,12103,2

335,50321,1

881,324560,5

1298,170657,2

983,10060,2

288,37834,5

747,382399,2

304,333371,4

729,46261,1

330,16007,3

30,579974,4

773,310593,3

166,217993,1

191,49022,5

408,916,4

963,220,1

918,12225,1

171,589739,2

812,46738,2

1019,9487,3

129,516850,2

494,82992,3

44,9693,4

1249,261023,3

1080,487476,4

577,11775,1

712,114606,1

400,293299,3

747,393559,1

836,752623,3

351,17037,3

1005,8012,1

204,19,1

1173,48289,1

733,3019,5

564,164251,1

921,336050,4

1157,21519,4

1047,632632,2

141,489927,5

287,522681,5

836,209262,2

792,18254,4

830,550205,1

425,331482,4

166,2148,4

70,334527,1

1030,408439,3

1201,11671,3

658,522016,4

1045,241855,2

47,15167,4

141,297761,4

285,34746,5

1180,10391,1

583,11460,1

1015,29193,2

425,37652,4

1103,779047,3

1276,80038,3

498,85735,2

602,392207,2

1080,11049,3

944,345009,3

177,584,4

1273,405775,1

1272,412988,5

621,10678,4

533,206192,5

382,18197,2

168,416477,3

378,129,1

389,11183,1

333,193613,4

320,616651,3

107,589761,5

1200,9697,1

1081,9631,4

1197,12090,5

62,9275,1

613,293863,4

225,9043,3

335,405,2

105,244264,1

1219,23168,3

201,470,5

1207,511785,4

1329,675,4

802,9754,3

53,702,4

1173,15449,3

201,50014,3

573,441282,1

256,56903,4

731,442065,3

892,251,2

656,821,2

633,4148,5

646,529203,2

149,38700,1

181,302401,3

534,586461,1

233,8818,5

1318,642,5

101,168530,1

168,14353,3

980,14784,3

528,500840,4

47,41665,3

963,514207,1

986,250538,4

316,24684,3

768,539649,3

25,84329,3

893,423612,4

474,449749,3

547,401847,3

721,488,1

970,519035,4

241,291272,5

67,718930,2

202,20532,3

479,10592,2

54,882598,5

1150,80015,3

290,68818,3

836,632309,4

800,513083,5

1041,10170,2

789,19123,5

270,13803,3

462,9602,2

1178,22683,2

167,9029,5

596,5146,2

883,34070,2

1091,346709,4

957,2320,4

970,759,2

334,474764,2

1272,122081,5

1327,72190,4

425,467909,3

89,11319,5

196,10549,2

420,450179,1

445,9348,4

228,36599,5

963,823855,5

688,15251,2

416,11972,3

491,332704,4

397,1826,1

1050,2284,4

1034,9655,1

28,310135,2

1186,516486,5

231,265712,5

699,496704,1

375,244,3

638,759175,2

421,24238,2

936,588228,3

733,68734,4

530,593395,3

371,11523,3

800,11187,3

809,49047,1

305,9277,3

1200,41733,1

986,10495,3

162,41608,1

750,419472,4

1177,60307,1

731,10052,3

343,581859,3

1177,9381,2

709,438347,4

564,613349,3

688,4233,1

371,308453,5

763,353571,4

634,510,2

879,695,5

622,343173,1

144,11451,5

1093,9603,3

797,19997,3

690,19898,2

593,11172,3

141,244786,4

904,69668,3

781,9802,1

397,16320,1

839,24589,4

416,5185,5

749,739413,2

225,168138,5

1249,11015,4

880,82525,5

320,9804,3

961,16288,5

614,37905,1

47,829560,1

974,864370,1

1202,531428,4

556,115929,3

129,10590,3

60,1398,5

485,300671,4

1094,484747,1

42,602545,2

918,8966,4

561,1541,2

672,10153,3

593,566454,4

260,68718,4

471,11521,3

69,286873,1

633,7326,3

913,712454,5

802,618353,4

1217,32985,4

1168,509874,1

547,9446,2

1306,48395,1

1222,554590,1

670,21208,1

761,439079,3

436,9562,2

121,70706,5

1210,673174,2

78,1433,2

920,2058,4

376,17707,5

1202,227159,5

413,1924,3

1123,25472,3

1210,276908,4

1055,324668,4

1168,101669,5

1284,522417,2

407,37768,4

1248,11561,5

1058,471856,3

325,75624,2

733,37799,2

2,13925,4

269,9386,4

812,45610,4

62,11060,2

371,508570,4

501,633604,3

1247,78,2

633,195,1

497,10312,5

28,14624,1

245,12710,1

750,248507,5

879,164457,5

344,229,4

998,551238,3

1205,838484,4

678,250349,2

707,134,1

1238,41663,2

166,291328,1

1166,158852,2

371,13022,2

225,250574,2

181,245703,3

60,641501,1

653,11787,2

1099,399131,2

55,84174,5

204,46705,1

820,13193,4

1284,9877,4

583,9796,5

983,119698,2

198,9694,4

809,18444,2

966,117251,5

974,374416,3

879,363088,1

781,523773,4

666,524,4

596,81188,4

337,454527,5

294,61667,3

1009,247218,5

520,226140,2

812,25846,2

773,8416,1

142,586,3

648,504253,1

999,15917,2

1000,615,1

951,92060,3

1072,227735,1

1030,226448,4

209,3170,4

869,437068,2

707,77950,3

666,48035,2

1004,10157,2

1148,232175,5

403,13105,1

1080,34134,2

945,11891,1

364,352173,3

895,522162,5

520,527,5

1110,76203,1

614,30890,3

942,581392,5

325,348,3

471,482321,3

696,382598,5

658,320302,2

1094,353066,5

688,455,2

1327,2487,1

58,782,4

544,11632,2

530,79643,4

520,957,1

118,24750,4

999,12780,5

162,6114,4

69,477489,4

826,23169,5

1320,268531,3

1264,14361,3

305,9812,1

216,579792,2

266,82650,5

935,11658,1

336,622,2

144,1492,4

890,14534,1

411,15400,3

1123,40342,4

731,2756,5

467,10167,5

584,13640,3

631,338964,5

447,10442,4

1269,370964,3

1210,192145,3

1327,21866,3

143,552095,2

690,15413,4

121,238636,5

193,50544,3

1298,1523,5

225,221902,5

579,2275,1

1148,840882,5

400,48034,2

996,124470,2

826,778106,4

1107,3597,1

338,396371,2

1210,366924,4

1222,11569,3

773,545609,3

1061,449674,3

258,82505,4

479,334304,1

196,4942,4

168,11137,3

524,140222,5

160,486101,5

9,3088,2

202,13260,1

34,26371,1

406,59962,3

1182,8272,3

665,413658,2

1287,5698,4

929,10999,4

616,869617,5

910,30685,2

1279,793,2

883,346910,4

903,94363,3

480,11153,5

166,27475,2

1000,16562,2

769,1807,3

1216,11549,1

225,1955,1

797,30197,2

458,432613,3

352,11093,3

78,288036,5

335,10564,3

1166,1716,3

577,9652,4

225,569547,5

498,35626,4

1157,10952,4

54,1623,1

30,248933,4

970,8643,3

1329,267192,3

802,351211,2

241,762968,2

738,680028,5

526,955,4

761,339994,4

890,10795,4

787,529216,4

846,188161,4

1004,13997,1

1258,1770,1

188,37686,1

237,322,1

841,300168,2

731,215,2

206,9574,4

1225,97430,4

269,615469,3

563,504172,5

397,638,4

879,256591,5

774,9770,5

1217,811,1

1019,26900,4

847,36648,2

1279,256569,4

732,11186,4

1166,30368,2

682,352490,4

665,25132,2

1262,631,1

668,531309,2

804,385332,4

574,34335,3

272,362637,2

890,11328,1

467,24402,5

890,44040,2

974,458005,3

1173,11838,4

1276,5801,2

1208,438396,2

121,6479,1

330,10133,1

72,13633,5

904,2565,1

260,639,5

1080,257,5

746,13253,5

1174,12528,3

699,296100,2

352,236325,4

763,203217,3

47,331583,2

177,49538,4

1030,10348,5

176,1396,2

1219,50837,5

60,293,3

1258,1923,5

1164,4909,1

491,505707,3

474,14392,1

106,339987,1

662,9413,4

894,11821,2

983,461053,2

544,2800,5

792,854,1

1127,662546,1

1250,692,4

68,9422,1

169,18299,2

54,300665,3

576,16646,2

377,10734,5

957,470114,2

613,411999,1

774,8675,2

869,787752,1

116,149870,4

142,2640,1

116,9618,4

712,13550,4

844,28468,1

688,26263,2

1050,4836,1

633,197950,4

162,10406,2

421,598133,3

1114,638507,3

983,588921,1

89,497,2

204,13313,5

556,11068,4

480,59429,2

330,287590,2

386,6948,2

894,2118,5

1185,12584,3

1178,453405,1

1166,17663,4

129,19173,2

1061,8326,2

264,1051,4

1064,159121,4

272,83770,1

349,489064,4

812,407655,1

1050,411736,5

540,650783,5

103,290864,5

990,34851,4

335,4174,1

1212,867,4

62,7874,2

1144,259018,1

1022,11888,3

267,56648,1

977,43947,2

106,2907,4

826,12609,5

826,831946,3

326,10869,3

1086,563907,2

688,19286,2

554,614934,4

141,22787,3

467,240916,3

1072,1452,2

961,72570,3

1030,384521,3

1108,58235,2

1057,575446,2

890,593,3

258,589982,5

904,840,3

1227,68724,2

778,8273,2

446,287,4

1064,508,1

578,333352,5

958,1576,2

693,21755,3

755,3543,1

996,374465,2

552,64685,5

69,14873,5

1061,360814,1

896,244509,1

1057,272692,4

435,639798,1

517,671043,1

209,652837,3

228,403605,5

951,11011,4

44,755,1

1206,10935,1

421,5876,2

844,41411,5

515,3902,4

105,11393,1

1207,611468,5

518,216,2

1220,12903,1

576,10331,3

498,11133,4

832,470229,2

534,416194,2

572,8090,4

890,38884,3

304,502074,2

1157,8409,3

343,363,1

910,27431,3

1186,9702,2

1009,109410,3

1032,10877,2

544,591275,5

789,262,2

467,796499,4

736,192141,4

383,340611,2

